StudentID	Tarsus	Leg	BillWidth	Handedness	Year
CR0401	22.4	right	8.2	R	2018
EB812	15.7	right	5.1	R	2018
EB812	14.6	left	6	R	2018
AB1312	17.5	right	6.5	R	2018
AB1312	17.5	left	5.9	R	2018
HL3006	13.6	right	9	R	2018
RA0111	17.3	right	6.2	R	2018
zhk15	15.9	left	6.3	R	2018
zhk15	17	right	6	R	2018
NB2312	19.8	right	7.3	R	2018
NB2312	20.4	right	8.1	R	2018
YW1311	15.9	right	5.3	R	2018
cg3003	20.4	left	5.1	A	2018
JC7394	17.8	right	5.6	R	2017
JC7394	17.4	left	5.6	R	2017
JC7394	17.9	right	5.6	R	2017
AH2912	19.5	left	6.8	R	2017
AH2912	18.7	left	6.4	R	2017
Ak70593	14.5	left	7.5	R	2017
AK70593	14.9	left	7.5	R	2017
AL0109	18.1	left	6.8	R	2017
AR1310	17.1	right	6.2	R	2017
ASR0312	15	right	5	R	2017
ASR0312	15.7	right	9	R	2017
BC1603	19.45	left	6.2	R	2017
cd1302	20.5	right	6.9	R	2017
cd1302	21	right	7.4	R	2017
CHT2404	19.7	left	5.9	R	2017
CHT2404	18.2	left	5.8	R	2017
cm2807	20.6	left	6.1	R	2017
cm2807	20.2	left	5.6	R	2017
CP0409	18.5	left	5.9	R	2017
CP0409	18.3	left	5.8	R	2017
CT0905	20.36	right	5.4	R	2017
CW2102	23	right	7.2	R	2017
CW2102	23	right	7.1	R	2017
DM3107	20.8	left	6.3	R	2017
DM3107	19.9	left	6.3	R	2017
DS1508	19.6	right	6.4	R	2017
DS1508	19.6	right	7.2	R	2017
EF2202	16.1	left	5.5	R	2017
EF2202	15.4	right	6.9	R	2017
EJM2408	19.5	left	6.8	R	2017
EJM2408	19.7	left	6.7	R	2017
emd2016	17.8	left	7	R	2017
EW2402	21.6	left	5.6	R	2017
EW2402	21.6	left	5.7	R	2017
EW2810	23	left	9	R	2017
EW2810	22	right	8	R	2017
FAH1607	18	right	7.8	R	2017
FDA2312	18.4	right	7.6	R	2017
FDA2312	16.8	right	7.3	R	2017
FHW1607	18.3	right	7.8	R	2017
FHW1607	17.7	right	7.6	R	2017
FTT1408	15.2	left	7.9	R	2017
HH0208	19.2	left	7.9	R	2017
HL3103	18.5	left	6	R	2017
HL3103	21	left	6.7	R	2017
HP0801	17.4	right	7.2	R	2017
HY0712	20.4	left	6	R	2017
HY0712	21.3	left	5.9	R	2017
JB0207	21.3	left	6.2	R	2017
JB0903	18.4	right	7	R	2017
JB0903	18.8	right	7.8	R	2017
JB1904	19.2	left	7	R	2017
JB1904	19	left	7.2	R	2017
JB1904	19.6	left	7.6	R	2017
JB1904	14	left	7.4	R	2017
jc2709	19	left	6.9	R	2017
jc2709	18.6	left	7	R	2017
JC7394	17.1	left	6.2	R	2017
jlp16	23	left	7	R	2017
jlp16	23	left	7	R	2017
JP0804	18	left	7.5	R	2017
JP0804	18.3	right	8.2	R	2017
JRD0602	16.6	left	6.8	R	2017
JRD0602	16.9	left	6.6	R	2017
JW120595	16.9	right	6.6	R	2017
JW120595	16.9	right	6.3	R	2017
KB0402	16.1	right	6.1	R	2017
KB0402	15.7	right	6.2	R	2017
KH0906	19.6	left	7.3	R	2017
KH0906	18.6	right	7.6	R	2017
KH0906	21.6	right	7	R	2017
KH0906	21.4	left	7.7	R	2017
KI1604	21.6	right	6.1	R	2017
KI1604	21.5	right	6.5	R	2017
KI1604	21.8	right	6	R	2017
KJF3110	17.7	left	6.7	R	2017
KJF3110	19.2	left	6.7	R	2017
KT2804	18.9	right	6.2	R	2017
KV1303	21.5	left	9	R	2017
KV1303	19.5	left	8	R	2017
KW1102	18.8	left	6.5	R	2017
KW1102	19.1	left	6.4	R	2017
LF1201	18.4	right	7	R	2017
LF1201	15.9	left	7.1	R	2017
LR1305	21.8	left	7.2	R	2017
LR1305	21.3	right	7.3	R	2017
MB1301	19.2	left	7	R	2017
MP0501	17	left	8	R	2017
MP0501	20	right	7	R	2017
MP0501	18	right	8	R	2017
MP0501	19	left	7	R	2017
MS0706	20.5	left	7.9	R	2017
MS0706	20.4	left	8	R	2017
MT2703	16.5	right	5.1	R	2017
MT2703	16.4	right	5	R	2017
NB2709	20.2	left	8.1	R	2017
ND0405	21.4	right	6.8	R	2017
ND0405	21.4	right	6.9	R	2017
nd2311	17.8	right	7.2	R	2017
NT3003	19.4	left	6.6	R	2017
NT3003	18.7	left	6.4	R	2017
PJ1709	15.9	right	5.2	R	2017
PJ1709	15.9	right	5.1	R	2017
RA0893	15.5	right	5.6	R	2017
RA0893	16.3	right	6.8	R	2017
RCS1405	19.4	left	5.1	R	2017
RCS1405	21.3	right	6	R	2017
RD5993	18.5	left	6.6	R	2017
RD5993	18.6	left	6.2	R	2017
RD5993	18.5	left	5.8	R	2017
RD5993	18.2	left	6.5	R	2017
RG0101	21.6	right	6.3	R	2017
RG0101	20.5	right	5.7	R	2017
RM1993	19.2	right	6.6	R	2017
SB0709	16	right	6	R	2017
SE0602	19.3	left	6.9	R	2017
SE0602	18.4	left	7.4	R	2017
SE1416	18.7	left	6.9	R	2017
SG2912	18.9	right	7.4	R	2017
SG2912	21.3	right	6.9	R	2017
SM2407	16.4	left	5.6	R	2017
sr3316	17.8	left	5.2	R	2017
TB2109	16.7	right	9	R	2017
TB2109	19.8	left	6.8	R	2017
TB2109	19.6	right	6.7	R	2017
WSN1912	16.3	right	6.7	R	2017
WSN1912	15.9	right	6.4	R	2017
WZ0709	17.7	left	5.1	R	2017
